"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        数据驱动测试：登录失败场景

        使用 test_data.json 中的数据进行参数化测试，
        覆盖多种登录失败情况。
        ","323","登录失败测试：空密码登录","tests","Tue Jan 27 18:19:51 UTC 2026","passed","Tue Jan 27 18:19:52 UTC 2026","TestLogin","test_login","",""
"
        数据驱动测试：添加指定商品到购物车并验证
        ","120","添加商品到购物车：Sauce Labs Bike Light","tests","Tue Jan 27 18:19:42 UTC 2026","passed","Tue Jan 27 18:19:42 UTC 2026","TestCart","test_cart","",""
"
        测试从购物车页面移除商品
        ","185","从购物车页面移除商品","tests","Tue Jan 27 18:19:46 UTC 2026","passed","Tue Jan 27 18:19:46 UTC 2026","TestCart","test_cart","",""
"
        测试所有必填信息为空时的验证
        ","201","结账时必填信息验证","tests","Tue Jan 27 18:19:50 UTC 2026","passed","Tue Jan 27 18:19:50 UTC 2026","TestCheckout","test_cart","",""
"
        数据驱动测试：结账时必填字段验证
        ","222","结账验证：postal_code 为空","tests","Tue Jan 27 18:19:49 UTC 2026","passed","Tue Jan 27 18:19:49 UTC 2026","TestCheckout","test_cart","",""
"
        测试完整的结账流程（使用测试数据）
        ","301","完整结账流程","tests","Tue Jan 27 18:19:47 UTC 2026","passed","Tue Jan 27 18:19:48 UTC 2026","TestCheckout","test_cart","",""
"
        数据驱动测试：结账时必填字段验证
        ","216","结账验证：last_name 为空","tests","Tue Jan 27 18:19:49 UTC 2026","passed","Tue Jan 27 18:19:49 UTC 2026","TestCheckout","test_cart","",""
"
        数据驱动测试：登录失败场景

        使用 test_data.json 中的数据进行参数化测试，
        覆盖多种登录失败情况。
        ","324","登录失败测试：错误凭证登录","tests","Tue Jan 27 18:19:52 UTC 2026","passed","Tue Jan 27 18:19:52 UTC 2026","TestLogin","test_login","",""
"
        数据驱动测试：添加指定商品到购物车并验证
        ","118","添加商品到购物车：Sauce Labs Backpack","tests","Tue Jan 27 18:19:42 UTC 2026","passed","Tue Jan 27 18:19:42 UTC 2026","TestCart","test_cart","",""
"
        数据驱动测试：登录失败场景

        使用 test_data.json 中的数据进行参数化测试，
        覆盖多种登录失败情况。
        ","435","登录失败测试：空用户名登录","tests","Tue Jan 27 18:19:51 UTC 2026","passed","Tue Jan 27 18:19:51 UTC 2026","TestLogin","test_login","",""
